Index,Well,MD,ANGLE,AZIMUTH,Depth,ADIPnew,AAZInew,DIP_TYPE
0,A,115.978,72.7027,275.1597,116.058,42.776,275.2326,Fracture
1,A,135.0881,77.6677,353.8462,135.0581,72.7666,353.8209,Fracture
2,A,139.1479,34.9659,22.2341,139.1479,35.0617,21.9782,Fracture
3,A,140.8838,40.1933,292.8713,140.8838,40.4759,293.0215,Fracture
4,A,143.1767,61.026,329.1889,143.2967,61.2799,329.1402,Fracture
5,A,144.1102,74.0608,0.8177,144.4102,74.1986,0.7663,Fracture
6,A,145.2709,79.3467,33.5684,145.2709,79.2729,33.5243,Fracture
7,A,145.722,73.7506,201.5687,145.722,73.7829,201.6618,Fracture
8,A,146.4736,35.5529,101.5569,146.4736,35.2659,101.5177,Fracture
9,A,146.8614,46.0011,273.3474,146.7914,46.2726,273.4092,Fracture
10,A,147.8775,44.2228,7.1163,147.9275,44.2281,6.741,Fracture
11,A,147.8776,58.6494,137.9953,147.8776,58.3707,138.1401,Fracture
12,A,148.2167,55.6624,256.3166,148.1467,55.9889,256.419,Fracture
13,A,148.5625,81.2435,356.3624,148.5625,81.3564,356.3097,Fracture
14,A,149.9455,38.5115,160.8488,149.9055,38.4016,161.3219,Fracture
15,A,157.447,41.2729,358.4747,157.447,41.3146,357.9373,Fracture
16,A,158.735,41.1348,77.5569,158.735,40.6712,77.4435,Fracture
17,A,159.8022,42.4825,274.3176,159.8022,43.0068,274.3136,Fracture
18,A,161.367,42.6389,292.9097,161.297,43.028,292.6678,Fracture
19,A,161.5083,71.2787,144.4382,161.5083,71.0964,144.5563,Fracture
20,A,161.769,60.8484,248.0439,161.769,61.2638,248.0799,Fracture
21,A,162.4434,72.0709,327.6323,162.2134,72.1573,327.4999,Fracture
22,A,266.0827,61.7522,106.4361,266.1727,51.3878,106.3887,Fracture
23,A,421.0882,53.7659,165.9974,421.0082,53.1891,166.1362,Fracture
24,A,429.7179,31.0915,30.8812,429.7179,31.4071,30.3477,Fracture
25,A,439.4593,32.3983,190.1595,439.4593,31.768,190.466,Fracture
26,A,442.9439,75.8105,171.9517,443.1139,65.1902,171.9489,Fracture
27,A,443.1373,33.8268,9.6782,443.1373,34.4213,9.4165,Fracture
28,A,443.5317,59.2654,195.5236,443.4917,58.6635,195.6978,Fracture
29,B,333.6391,89.8378,101.0006,333.6391,90,281,Fracture
30,B,339.5716,56.74,315.5948,339.6816,56.8256,315.77,Fracture
31,B,363.4452,74.7696,10.6377,363.3252,74.8134,10.4651,Fracture
32,B,369.2392,71.7816,320.3708,369.2092,72.3478,320.2325,Fracture
33,B,406.3676,89.8436,319.0005,406.3676,90,319,Fracture
34,C,250.86,53.7,189.7,250.82,54.0057,189.8887,Fracture
35,C,250.99,61.9,14.5,250.99,61.5475,14.3601,Fracture
36,C,251.11,57.4,352.9,251.11,57.118,352.6633,Fracture
37,C,253.08,89.7,277.5,253.08,90,277.5001,Fracture
38,C,281.79,40.2,181.7,281.79,40.5149,182.0635,Fracture
39,C,291.93,74,83.5,291.93,73.7145,83.553,Fracture
40,C,312.98,39.7,291.7,312.98,39.6177,291.4043,Fracture
41,C,342.43,67.7,138.3,342.3,67.8003,138.4564,Fracture
42,C,343.63,84.4,359.9,344.43,84.0485,359.8877,Fracture
43,C,345.24,89.5,223.5,345.24,90,223.5,Fracture
44,C,345.62,65.2,314.1,345.75,65.1046,313.9116,Fracture
45,D,170.979,79,97.8,170.979,46.3309,97.888,Fracture
46,D,218.716,47.6,157.6,218.776,47.5819,157.2429,Fracture
47,D,219.23,54,16.2,219.23,54.2183,16.3467,Fracture
48,D,219.839,65.4,316.1,219.839,65.2855,316.2758,Fracture
49,D,225.637,37.6,231.4,225.567,49.4634,247,Fracture
50,D,314.727,30.8,97.2,314.727,1.3358,359.414,Fracture
51,E,248.6798,68.2995,232.7202,248.5698,55.9533,231.5926,Fracture
52,E,248.6807,66.9535,228.158,248.6807,54.8319,226.3882,Fracture
53,E,248.7054,80.2028,283.5912,248.7054,70.9895,285.7846,Fracture
54,E,248.8437,64.2177,162.2242,248.8437,62.641,155.9806,Fracture
55,E,248.9971,75.9449,175.6328,248.9971,71.2331,172.1979,Fracture
56,E,249.0139,82.8657,168.7337,249.0139,79.4225,166.849,Fracture
57,E,249.0638,56.5158,248.2544,249.0438,14.0809,249.5253,Fracture
58,E,345.8429,78.6742,35.4128,345.8429,90,216,Fracture
59,F,136.499,56.364,105.562,136.439,56.5027,105.4176,Fracture
60,F,162.675,57.987,127.777,162.655,28,127.7051,Fracture
61,F,182.184,87.359,314.044,182.224,72.5113,314.0541,Fracture
62,F,228.148,66.561,119.34,228.148,66.2194,119.2429,Fracture
63,F,286.456,87.868,354.873,286.456,88.1097,354.8568,Fracture
64,F,287.238,53.408,167.484,287.198,46.0734,162.7986,Fracture
65,F,287.902,46.868,30.031,287.902,39.8445,29.5268,Fracture
66,G,225.25,77.5,137.5,225.29,74.2075,137.5667,Fracture
67,G,241.8,64.5,136.4,241.73,64.1264,136.4512,Fracture
68,G,260.92,77.3,210.7,260.92,77.2861,210.7983,Fracture
69,G,264.8,62.2,218.5,264.7,55.3696,218.6892,Fracture
70,G,288.9,29.1,307.4,288.9,29.3256,307.2972,Fracture
71,G,354.45,84,263.3,353.55,83.9301,263.3198,Fracture
72,H,169.8451,77.106,134.4417,170.1551,75.7899,134.2797,Fracture
73,H,169.9502,72.7211,96.2734,169.8902,72.1126,95.8534,Fracture
74,H,176.845,71.9664,338.0368,176.845,73.3131,338.0148,Fracture
75,H,176.8883,72.7901,126.6224,176.8883,71.6024,126.412,Fracture
