                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4905,                 5.7145,                 3.8665,                 3.0416,                0.00492,                0.55357,                0.01045,                0.00342,                      0,                      0,                      0,                      0,                 2.9965,                 4.0458,                 3.5794,                  2.829,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.7364,                 5.1677,                 3.3853,                 2.3738,                0.00778,                  0.875,                0.04752,                0.01114,                      0,                      0,                      0,                      0,                 2.8202,                 4.0017,                 3.3726,                 2.2046,             0.00021978,             0.00021978,             0.00021978
                      3,                 2.2084,                 4.3719,                 3.1353,                  1.862,                0.00825,                0.92857,                0.14136,                0.04049,                      0,                      0,                      0,                      0,                  2.139,                   4.12,                 3.1301,                 1.7071,             0.00033933,             0.00033933,             0.00033933
                      4,                 2.1218,                 4.2819,                 3.0395,                  1.727,                0.00794,                0.89286,                0.04869,                0.02143,                      0,                      0,                      0,                      0,                 2.0475,                 4.0567,                 3.1781,                 1.6113,             0.00045863,             0.00045863,             0.00045863
                      5,                 1.9789,                 4.1344,                 2.9042,                 1.6333,                0.00857,                0.96429,                0.12059,                0.03075,                      0,                      0,                      0,                      0,                 2.2261,                 4.1575,                 3.2497,                 1.7624,              0.0005777,              0.0005777,              0.0005777
                      6,                 1.9008,                 4.0745,                 2.7195,                 1.6232,                0.00841,                0.94643,                0.08423,                0.02982,                      0,                      0,                      0,                      0,                 2.1372,                 4.6704,                 3.3696,                 1.8223,             0.00069653,             0.00069653,             0.00069653
                      7,                 1.9198,                 4.0405,                 2.6055,                 1.6342,                0.00825,                0.92857,                0.14825,                0.04881,                      0,                      0,                      0,                      0,                 2.0316,                  5.359,                 3.1214,                 1.8436,             0.00081513,             0.00081513,             0.00081513
                      8,                 1.9379,                 4.0489,                 2.6762,                 1.6211,                0.00825,                0.92857,                0.02897,                0.00714,                      0,                      0,                      0,                      0,                 2.8705,                 4.6725,                  3.621,                 2.7379,             0.00093349,             0.00093349,             0.00093349
                      9,                 1.9499,                  3.988,                 2.4907,                 1.6971,                0.00492,                0.55357,                0.00498,                0.00095,                      0,                      0,                      0,                      0,                 3.4771,                 5.1352,                 3.6016,                  3.328,              0.0010516,              0.0010516,              0.0010516
                     10,                 1.9505,                 4.0274,                 2.5551,                 1.6857,                0.00778,                  0.875,                0.03514,                0.00687,                0.00016,                0.01786,                  8e-05,                  1e-05,                 3.1263,                 4.5811,                  3.203,                 3.1426,              0.0011695,              0.0011695,              0.0011695
                     11,                 1.9007,                 3.9284,                 2.4838,                  1.732,                0.00619,                0.69643,                0.07198,                0.02056,                      0,                      0,                      0,                      0,                 2.9523,                 4.3037,                 3.3543,                  2.645,              0.0012871,              0.0012871,              0.0012871
                     12,                 1.8414,                 3.8768,                 2.3394,                 1.6487,                0.00333,                  0.375,                0.02296,                0.00738,                      0,                      0,                      0,                      0,                 3.8424,                 5.2005,                 3.8478,                 3.4104,              0.0014045,              0.0014045,              0.0014045
                     13,                 1.8999,                 3.9189,                 2.2852,                 1.6545,                 0.0046,                0.51786,                0.03892,                0.01158,                      0,                      0,                      0,                      0,                 3.1426,                 5.0215,                 3.3673,                 2.6901,              0.0015217,              0.0015217,              0.0015217
                     14,                 1.8122,                 3.7942,                 2.2727,                 1.5703,                0.00556,                  0.625,                0.06081,                0.02294,                      0,                      0,                      0,                      0,                 2.5255,                 5.1032,                 3.0027,                 2.4782,              0.0016386,              0.0016386,              0.0016386
                     15,                 1.7977,                 3.9022,                 2.2375,                 1.6093,                0.09058,                0.01786,                 0.0537,                0.02044,                      0,                      0,                      0,                      0,                 2.4281,                 4.7307,                 2.8829,                 2.5136,              0.0017553,              0.0017553,              0.0017553
                     16,                 1.7969,                  3.931,                 2.2028,                 1.6085,                0.26537,                0.17425,                0.14709,                 0.0495,                      0,                      0,                      0,                      0,                 2.3335,                 4.3106,                 2.6701,                 2.1205,              0.0018718,              0.0018718,              0.0018718
                     17,                 1.7804,                 3.8051,                 2.1221,                 1.5972,                0.25728,                0.39286,                0.21968,                0.09025,                      0,                      0,                      0,                      0,                 2.2542,                 4.4323,                 2.4721,                 2.3436,              0.0019683,              0.0019683,              0.0019683
                     18,                 1.7418,                 3.8607,                 2.2197,                  1.606,                0.21112,                0.32143,                0.16781,                0.07488,                0.00016,                0.01786,                  8e-05,                  1e-05,                   2.23,                 4.3426,                 2.8148,                 2.3903,              0.0019663,              0.0019663,              0.0019663
                     19,                 1.8056,                 3.9381,                  2.177,                 1.6093,                0.17416,                0.28571,                0.12287,                0.04833,                      0,                      0,                      0,                      0,                 2.6051,                 4.1368,                 3.1568,                 3.0366,              0.0019644,              0.0019644,              0.0019644
                     20,                 1.7048,                 3.7917,                 2.1463,                 1.5701,                0.29879,                0.33929,                0.22355,                0.08597,                      0,                      0,                      0,                      0,                 2.3369,                 4.6203,                 2.9766,                 2.3234,              0.0019624,              0.0019624,              0.0019624
                     21,                 1.8078,                 3.7376,                 2.1624,                 1.6421,                0.30503,                0.35714,                0.28578,                0.14192,                0.00016,                0.01786,                  9e-05,                  3e-05,                 2.1106,                 4.3309,                 2.9207,                 1.9886,              0.0019604,              0.0019604,              0.0019604
